case_id,kind,date,repeat,historical_pnl_observation,source_net_return,reported_net_return,net_return_reporting_error,transaction_cost_reporting_error,turnover_reporting_error,historical_start_capital,implied_pnl_reporting_error_units,current_validator_accepted
valid_01,valid,2015-02-28,1,True,0.0525471405349718,0.052547,-1.4053497179866703e-07,-3.691026460883244e-09,3.0897353920028917e-07,100.0,-1.4053497179866703e-05,True
valid_01,valid,2015-02-28,2,True,0.0525471405349718,0.0525471405349718,0.0,0.0,0.0,100.0,0.0,True
valid_01,valid,2015-02-28,3,True,0.0525471405349718,0.0525471405349718,0.0,0.0,0.0,100.0,0.0,True
valid_02,valid,2016-04-30,1,True,-0.0016019252675571,-0.0016019252675571,0.0,0.0,0.0,107.42049252357783,0.0,True
valid_02,valid,2016-04-30,2,True,-0.0016019252675571,-0.0016019252675571,0.0,0.0,0.0,107.42049252357783,0.0,True
valid_02,valid,2016-04-30,3,True,-0.0016019252675571,-0.0016019252675571,0.0,0.0,0.0,107.42049252357783,0.0,True
valid_03,valid,2017-07-31,1,True,0.0212612882779624,0.0212612882779624,0.0,0.0,0.0,128.33169339585092,0.0,True
valid_03,valid,2017-07-31,2,True,0.0212612882779624,0.0212612882779624,0.0,0.0,0.0,128.33169339585092,0.0,True
valid_03,valid,2017-07-31,3,True,0.0212612882779624,0.0212612882779624,0.0,0.0,0.0,128.33169339585092,0.0,True
valid_04,valid,2018-09-30,1,True,0.007583314936185,0.007583314936185,0.0,0.0,0.0,159.78091941291882,0.0,True
valid_04,valid,2018-09-30,2,True,0.007583314936185,0.007583314936185,0.0,0.0,0.0,159.78091941291882,0.0,True
valid_04,valid,2018-09-30,3,True,0.007583314936185,0.007583314936185,0.0,0.0,0.0,159.78091941291882,0.0,True
valid_05,valid,2019-12-31,1,True,0.0239271527407784,0.0239271527407784,0.0,0.0,0.0,175.408605370424,0.0,True
valid_05,valid,2019-12-31,2,True,0.0239271527407784,0.0239271527407784,0.0,0.0,0.0,175.408605370424,0.0,True
valid_05,valid,2019-12-31,3,True,0.0239271527407784,0.0239271527407784,0.0,0.0,0.0,175.408605370424,0.0,True
valid_06,valid,2021-02-28,1,True,0.0228320257049538,0.0228320257049538,0.0,0.0,0.0,202.1823987340481,0.0,True
valid_06,valid,2021-02-28,2,True,0.0228320257049538,0.0228320257049538,0.0,0.0,0.0,202.1823987340481,0.0,True
valid_06,valid,2021-02-28,3,True,0.0228320257049538,0.0228320257049538,0.0,0.0,0.0,202.1823987340481,0.0,True
valid_07,valid,2022-05-31,1,True,0.0079376102216736,0.0079376102216736,0.0,0.0,0.0,216.0596874560297,0.0,True
valid_07,valid,2022-05-31,2,True,0.0079376102216736,0.0079376102216736,0.0,0.0,0.0,216.0596874560297,0.0,True
valid_07,valid,2022-05-31,3,True,0.0079376102216736,0.0079376102216736,0.0,0.0,0.0,216.0596874560297,0.0,True
valid_08,valid,2023-07-31,1,True,0.0265745795457387,0.0265745795457387,0.0,0.0,0.0,224.08452572921993,0.0,True
valid_08,valid,2023-07-31,2,True,0.0265745795457387,0.0265745795457387,0.0,0.0,0.0,224.08452572921993,0.0,True
valid_08,valid,2023-07-31,3,True,0.0265745795457387,0.0265745795457387,0.0,0.0,0.0,224.08452572921993,0.0,True
valid_09,valid,2024-10-31,1,True,-0.0113193438005152,-0.0113193438005152,0.0,0.0,0.0,292.83764553844446,0.0,True
valid_09,valid,2024-10-31,2,True,-0.0113193438005152,-0.0113193438005152,0.0,0.0,0.0,292.83764553844446,0.0,True
valid_09,valid,2024-10-31,3,True,-0.0113193438005152,-0.0113193438005152,0.0,0.0,0.0,292.83764553844446,0.0,True
valid_10,valid,2025-12-31,1,True,0.0073877028241075,0.0073877028241075,0.0,0.0,0.0,342.5688427622884,0.0,True
valid_10,valid,2025-12-31,2,True,0.0073877028241075,0.0073877028241075,0.0,0.0,0.0,342.5688427622884,0.0,True
valid_10,valid,2025-12-31,3,True,0.0073877028241075,0.0073877028241075,0.0,0.0,0.0,342.5688427622884,0.0,True
risk_high_turnover,risk_stress,2025-12-31,1,False,0.007243064906370668,0.007243064906370668,0.0,0.0,0.0,,,True
risk_high_turnover,risk_stress,2025-12-31,2,False,0.007243064906370668,0.007243064906370668,0.0,0.0,0.0,,,True
risk_high_turnover,risk_stress,2025-12-31,3,False,0.007243064906370668,0.007243064906370668,0.0,0.0,0.0,,,True
